gene,importance
ENSG00000049323.16,0.020034939
ENSG00000175928.6,0.020006524
ENSG00000122741.16,0.020004354
ENSG00000165194.15,0.01999707
ENSG00000070081.17,0.019994237
ENSG00000162891.10,0.019991225
ENSG00000133321.11,0.019984202
ENSG00000188833.10,0.019943958
ENSG00000008300.17,0.019941704
ENSG00000203875.13,0.019937327
ENSG00000203668.3,0.019936657
ENSG00000003096.14,0.01993603
ENSG00000164684.13,0.019927492
ENSG00000006327.14,0.019922953
ENSG00000159167.12,0.019900879
ENSG00000120738.8,0.019892098
ENSG00000167996.16,0.019882336
ENSG00000253123.4,0.01987829
ENSG00000263961.8,0.01987172
ENSG00000168421.13,0.019842217
ENSG00000135454.14,0.019826075
ENSG00000104518.11,0.019810798
ENSG00000175544.14,0.019792398
ENSG00000135346.9,0.019777695
ENSG00000166405.15,0.019775443
ENSG00000106688.12,0.019767173
ENSG00000162782.16,0.019746283
ENSG00000126562.17,0.019741066
ENSG00000213062.5,0.01972702
ENSG00000082014.17,0.019712681
ENSG00000185565.12,0.019710623
ENSG00000122420.10,0.019707968
ENSG00000268686.2,0.019698337
ENSG00000038945.15,0.019691797
ENSG00000176978.14,0.019680668
ENSG00000144290.17,0.019677678
ENSG00000104490.18,0.019657737
ENSG00000272636.4,0.019628827
ENSG00000072195.15,0.019621685
ENSG00000164442.10,0.019613614
ENSG00000261578.1,0.019583244
ENSG00000116191.17,0.019581819
ENSG00000103089.9,0.019578159
ENSG00000233622.3,0.019563142
ENSG00000066294.15,0.019549489
ENSG00000172296.13,0.019531371
ENSG00000103044.11,0.019511137
ENSG00000137857.17,0.019504257
ENSG00000118985.16,0.019462194
ENSG00000111348.9,0.019434476
ENSG00000064270.13,0.019410659
ENSG00000096060.15,0.019405695
ENSG00000180263.14,0.019401254
ENSG00000164128.7,0.019394254
ENSG00000211448.13,0.019364709
ENSG00000286379.1,0.019348975
ENSG00000188883.5,0.019343264
ENSG00000151892.15,0.019338988
ENSG00000076554.15,0.019334547
ENSG00000231389.7,0.019322775
ENSG00000137558.9,0.019317102
ENSG00000063180.9,0.01929172
ENSG00000066583.12,0.01928333
ENSG00000182621.18,0.019247567
ENSG00000198732.11,0.01924265
ENSG00000128165.9,0.019240396
ENSG00000224259.7,0.019238094
ENSG00000286208.1,0.01923229
ENSG00000154553.16,0.019228717
ENSG00000157600.12,0.019225584
ENSG00000123572.17,0.019221669
ENSG00000127995.17,0.019221378
ENSG00000132854.19,0.019212857
ENSG00000223350.2,0.01917556
ENSG00000110171.20,0.019155925
ENSG00000161642.18,0.019143533
ENSG00000163040.15,0.019134106
ENSG00000185499.16,0.01913028
ENSG00000281406.2,0.019123659
ENSG00000197291.9,0.019112755
ENSG00000145934.16,0.019112602
ENSG00000172575.12,0.019100742
ENSG00000183778.17,0.019089531
ENSG00000157851.17,0.019083757
ENSG00000113578.18,0.019078925
ENSG00000107821.15,0.019051006
ENSG00000162804.14,0.019046443
ENSG00000124479.11,0.019046
ENSG00000188916.9,0.019037351
ENSG00000164764.11,0.0190368
ENSG00000152977.10,0.019034255
ENSG00000169562.13,0.019022064
ENSG00000186818.12,0.019021908
ENSG00000168309.18,0.01899644
ENSG00000083857.14,0.018989833
ENSG00000007216.15,0.018978016
ENSG00000172236.18,0.018941462
ENSG00000106546.14,0.018895578
ENSG00000169213.7,0.018890865
ENSG00000146070.17,0.018890698
ENSG00000198959.12,0.018887749
ENSG00000250510.8,0.018874437
ENSG00000132561.14,0.018873274
ENSG00000169991.11,0.018866442
ENSG00000158445.10,0.01885925
ENSG00000071073.13,0.018821804
ENSG00000158014.15,0.018820466
ENSG00000182648.13,0.01881482
ENSG00000196136.18,0.018808583
ENSG00000121552.4,0.01878551
ENSG00000272398.6,0.018782627
ENSG00000134121.10,0.018782483
ENSG00000277972.2,0.018708589
ENSG00000167754.13,0.018693091
ENSG00000110484.7,0.018690368
ENSG00000167701.14,0.018684713
ENSG00000225783.8,0.0186757
ENSG00000151640.13,0.018662727
ENSG00000104870.13,0.01865072
ENSG00000109107.14,0.018650673
ENSG00000091262.16,0.018645013
